region	虻田 (1355)	厚真 (1419)	平取 (1512)	千歳 (1411)	江部乙 (1325)	萩野 (1329)	日高 (1514)	穂別 (1446)	幌別 (1420)	幌満 (1398)	三石 (1392)	鵡川 (1478)	室蘭 (1413)	新冠 (1430)	貫気別 (1498)	荻伏 (1401)	長万部 (1403)	礼文 (1399)	様似 (1403)	沙流 (1604)	白老 (1329)	静内 (1420)	高江 (1430)	高島 (1124)	豊浦 (1284)	浦河 (1400)	有珠 (1349)	空念 (105)	八雲 (1499)	旭川 (1331)	近文 (1311)	名寄 (1301)	宗谷 (1284)	天塩 (1250)	網走 (1347)	阿寒 (1266)	足寄 (1119)	美幌 (1372)	広尾 (1114)	白人 (1131)	布伏内 (1462)	伏古 (1140)	春採 (1462)	北見 (1334)	釧路 (1478)	屈斜路 (1267)	芽室 (1137)	藻琴 (1347)	根室 (1415)	虹別 (1504)	帯広 (1140)	音更 (1134)	斜里 (1327)	白糠 (1464)	十勝 (1123)	塘路 (1473)	智来 (1480)	真岡 (1393)	ライチシカ (1595)	白主 (1280)	多蘭泊 (1257)	鵜城 (1568)	相浜 (1446)	内路 (1423)	新問 (1427)	落帆 (1246)	白浜 (1446)	白浦 (1474)	多来加 (1442)	富内 (1241)	弥満別 (1224)	千島 (1503)	幌筵 (1508)	占守 (1503)	択捉 (1190)	南千島 (1190)
帯広 (1140)	0.560136	0.525137	0.509758	0.530950	0.569301	0.547932	0.512633	0.515246	0.553980	0.520998	0.523806	0.518319	0.556469	0.523740	0.514443	0.520758	0.574113	0.574080	0.520998	0.508407	0.547297	0.525598	0.523740	0.050511	0.576159	0.521619	0.561070	0.600000	0.561603	0.560403	0.266491	0.259366	0.659394	0.658347	0.549618	0.558356	0.062280	0.542134	0.375554	0.016805	0.575364	0.008080	0.578776	0.541871	0.574717	0.562645	0.013461	0.547509	0.629680	0.595287	0.000000	0.013155	0.554847	0.486003	0.055661	0.583046	0.847863	0.840186	0.855021	0.669490	0.765281	0.857909	0.843139	0.848184	0.847684	0.776831	0.843099	0.847580	0.846969	0.776831	0.765887	0.863127	0.864156	0.863127	0.352964	0.343737
音更 (1134)	0.562263	0.530208	0.515846	0.535828	0.569833	0.550274	0.518193	0.520337	0.556339	0.526651	0.529276	0.523570	0.558840	0.529605	0.520597	0.526325	0.575624	0.575585	0.526651	0.514495	0.549646	0.530833	0.529605	0.044630	0.578362	0.527204	0.563319	0.600000	0.563181	0.559895	0.265983	0.261018	0.657435	0.657645	0.547938	0.557396	0.057870	0.540331	0.382125	0.015049	0.570566	0.015245	0.574640	0.539896	0.570582	0.561757	0.019211	0.545840	0.626084	0.592708	0.013155	0.000000	0.553390	0.481920	0.052562	0.578681	0.847573	0.839824	0.856139	0.667607	0.764908	0.859041	0.842807	0.849321	0.848813	0.777110	0.842766	0.847283	0.848119	0.777110	0.765406	0.864422	0.865448	0.864422	0.352741	0.343447
斜里 (1327)	0.616926	0.600461	0.592770	0.603508	0.593005	0.602188	0.594051	0.595956	0.610485	0.298576	0.604022	0.595414	0.612907	0.603375	0.601173	0.302135	0.637400	0.637497	0.299253	0.593446	0.601862	0.603973	0.603375	0.538722	0.630071	0.301670	0.617561	0.610811	0.627205	0.585490	0.584814	0.557809	0.353087	0.348297	0.024893	0.066849	0.531749	0.030338	0.278710	0.550790	0.162959	0.555698	0.166207	0.038556	0.162824	0.060030	0.558286	0.022189	0.501399	0.150000	0.554847	0.553390	0.000000	0.252190	0.541397	0.156330	0.848853	0.842148	0.859190	0.362883	0.755132	0.862858	0.843174	0.853383	0.852734	0.770171	0.843162	0.848800	0.851338	0.770848	0.751626	0.868054	0.869003	0.868054	0.488828	0.473535
白糠 (1464)	0.316561	0.303823	0.290513	0.306049	0.322524	0.304861	0.290139	0.297153	0.310140	0.287623	0.296924	0.296874	0.312787	0.295534	0.296624	0.289303	0.329383	0.328513	0.287623	0.292542	0.304401	0.295922	0.295534	0.460458	0.330235	0.289340	0.316701	0.332432	0.322482	0.313812	0.613812	0.610251	0.385716	0.386772	0.249360	0.232404	0.467193	0.241660	0.209247	0.474870	0.110575	0.488423	0.110997	0.239866	0.104916	0.236857	0.492238	0.246628	0.209559	0.149803	0.486003	0.481920	0.252190	0.000000	0.448737	0.115426	0.550260	0.547517	0.564071	0.393842	0.476740	0.566923	0.546052	0.554963	0.852422	0.493134	0.546026	0.549837	0.554955	0.493134	0.479315	0.860548	0.862229	0.860548	0.636935	0.625006
十勝 (1123)	0.580265	0.552906	0.542572	0.557552	0.588406	0.566681	0.542306	0.545120	0.572917	0.544695	0.548968	0.548636	0.575755	0.549666	0.547875	0.545278	0.593512	0.592445	0.544695	0.541220	0.566152	0.550046	0.549666	0.019683	0.595387	0.546210	0.580405	0.621622	0.582035	0.579376	0.284111	0.278765	0.668077	0.666502	0.537258	0.540285	0.031881	0.529450	0.398317	0.043893	0.533231	0.058169	0.549871	0.526601	0.547841	0.545059	0.061847	0.534808	0.609605	0.570899	0.055661	0.052562	0.541397	0.448737	0.000000	0.556856	0.849514	0.843992	0.859979	0.675788	0.771833	0.862843	0.844034	0.853678	0.853172	0.782391	0.844002	0.849155	0.851703	0.782391	0.770011	0.866904	0.867921	0.866904	0.339706	0.328787
塘路 (1473)	0.331656	0.327343	0.314625	0.329074	0.322958	0.322005	0.314268	0.321790	0.325671	0.313379	0.324571	0.319854	0.328144	0.322782	0.323126	0.317685	0.348141	0.348144	0.313379	0.317331	0.321617	0.323914	0.322782	0.560044	0.345966	0.317678	0.332567	0.327027	0.341821	0.316567	0.616567	0.601641	0.376510	0.378314	0.159520	0.142276	0.555652	0.150794	0.301845	0.573960	0.038636	0.584695	0.024434	0.150904	0.017677	0.143518	0.587962	0.156454	0.119007	0.049683	0.583046	0.578681	0.156330	0.115426	0.556856	0.000000	0.553956	0.551235	0.564418	0.385681	0.471704	0.567272	0.550255	0.556540	0.853974	0.486989	0.550238	0.553432	0.555788	0.486989	0.472282	0.863442	0.864426	0.863442	0.560143	0.546371
智来 (1480)	0.548755	0.551145	0.547593	0.550095	0.545189	0.548704	0.550714	0.548909	0.549878	0.560049	0.556175	0.549585	0.550277	0.555825	0.551460	0.559660	0.551220	0.550818	0.560049	0.548269	0.548653	0.555900	0.555825	0.848807	0.554162	0.559879	0.549611	0.570270	0.546102	0.544264	0.839534	0.834927	0.515778	0.524767	0.847101	0.850317	0.848006	0.847167	0.558268	0.847364	0.852606	0.847854	0.852413	0.847076	0.553765	0.849330	0.847842	0.847487	0.570726	0.852246	0.847863	0.847573	0.848853	0.550260	0.849514	0.553956	0.000000	0.125895	0.156670	0.504084	0.350078	0.167228	0.086371	0.203802	0.203780	0.345319	0.085493	0.025812	0.216959	0.344642	0.387643	0.397641	0.395218	0.397641	0.874279	0.873957
真岡 (1393)	0.542673	0.545605	0.542846	0.544472	0.538593	0.544068	0.546743	0.543311	0.544023	0.558434	0.551719	0.544158	0.544524	0.550605	0.545315	0.557950	0.546794	0.546277	0.558434	0.543521	0.544002	0.550698	0.550605	0.842410	0.550271	0.558221	0.543722	0.581081	0.540543	0.537391	0.835364	0.824966	0.491998	0.506021	0.839999	0.845790	0.841423	0.840180	0.555226	0.840418	0.848938	0.840173	0.849754	0.839998	0.551781	0.846805	0.840823	0.840485	0.568384	0.849355	0.840186	0.839824	0.842148	0.547517	0.843992	0.551235	0.125895	0.000000	0.201219	0.475240	0.248306	0.212415	0.112440	0.228396	0.228775	0.305872	0.110469	0.121619	0.238923	0.307225	0.325621	0.408233	0.406490	0.408233	0.872352	0.871914
ライチシカ (1595)	0.557021	0.556145	0.553185	0.556505	0.545571	0.556221	0.555553	0.555309	0.556618	0.570067	0.562924	0.553824	0.556939	0.561273	0.558442	0.570423	0.554526	0.554214	0.570067	0.551833	0.556183	0.561336	0.561273	0.859415	0.563650	0.570604	0.557728	0.581081	0.545865	0.543510	0.842158	0.837644	0.512107	0.522289	0.859056	0.863142	0.858767	0.858996	0.568361	0.856513	0.865940	0.855014	0.862803	0.858270	0.564830	0.862874	0.855006	0.859362	0.579625	0.864904	0.855021	0.856139	0.859190	0.564071	0.859979	0.564418	0.156670	0.201219	0.000000	0.506585	0.418903	0.046495	0.198054	0.135341	0.136721	0.425216	0.197408	0.164517	0.151510	0.425893	0.458114	0.433780	0.433391	0.433780	0.880660	0.880811
白主 (1280)	0.384710	0.376303	0.369794	0.376982	0.336783	0.377526	0.371241	0.373202	0.382534	0.389043	0.388542	0.371758	0.383285	0.387195	0.374873	0.388985	0.390960	0.390147	0.389043	0.372500	0.377420	0.387336	0.387195	0.672319	0.394073	0.389386	0.386219	0.370270	0.377776	0.332888	0.638299	0.590745	0.032754	0.071681	0.355605	0.377099	0.670282	0.357134	0.388436	0.668535	0.388633	0.671491	0.389619	0.358590	0.384884	0.375495	0.672070	0.357634	0.412201	0.393097	0.669490	0.667607	0.362883	0.393842	0.675788	0.385681	0.504084	0.475240	0.506585	0.000000	0.268863	0.512854	0.496059	0.511949	0.512232	0.294488	0.495837	0.504705	0.516520	0.293811	0.259164	0.560861	0.561842	0.560861	0.714127	0.713154
多蘭泊 (1257)	0.473205	0.467963	0.463208	0.467481	0.447917	0.465861	0.467125	0.465666	0.472585	0.478807	0.474333	0.464512	0.473103	0.473195	0.467701	0.478977	0.482101	0.482240	0.478807	0.463208	0.465793	0.473293	0.473195	0.769534	0.484209	0.479259	0.474294	0.467568	0.473192	0.446689	0.745337	0.724731	0.287453	0.303966	0.754254	0.759420	0.767849	0.753756	0.478982	0.765528	0.770690	0.765267	0.769543	0.754894	0.472246	0.759770	0.765908	0.754754	0.491659	0.769141	0.765281	0.764908	0.755132	0.476740	0.771833	0.471704	0.350078	0.248306	0.418903	0.268863	0.000000	0.427868	0.330865	0.426900	0.426700	0.131819	0.328959	0.345244	0.434492	0.131819	0.146300	0.502181	0.499767	0.502181	0.794573	0.793969
鵜城 (1568)	0.559882	0.559018	0.556707	0.559397	0.549324	0.558378	0.559054	0.558191	0.560775	0.571471	0.565040	0.557349	0.561076	0.564088	0.561973	0.571848	0.556655	0.557038	0.571471	0.556707	0.558343	0.563466	0.564088	0.862318	0.566477	0.572017	0.560547	0.581081	0.547947	0.548660	0.845282	0.843654	0.520075	0.526525	0.862793	0.866085	0.861707	0.862703	0.570457	0.859390	0.868842	0.857903	0.865642	0.861990	0.567669	0.865826	0.857898	0.863079	0.581744	0.867800	0.857909	0.859041	0.862858	0.566923	0.862843	0.567272	0.167228	0.212415	0.046495	0.512854	0.427868	0.000000	0.210221	0.117909	0.119444	0.438249	0.209595	0.174344	0.134239	0.437572	0.467128	0.428245	0.432583	0.428245	0.882646	0.882921
相浜 (1446)	0.542124	0.547544	0.543970	0.545851	0.541132	0.542645	0.546455	0.545221	0.543233	0.557798	0.554612	0.546017	0.543696	0.553600	0.547776	0.558083	0.542753	0.542270	0.557798	0.543295	0.542576	0.553674	0.553600	0.843275	0.547596	0.558316	0.543024	0.564865	0.538384	0.539908	0.837206	0.829342	0.507959	0.519250	0.839960	0.846420	0.842319	0.840907	0.555883	0.842635	0.848241	0.843810	0.848837	0.840195	0.549513	0.846004	0.843832	0.840418	0.565597	0.849668	0.843139	0.842807	0.843174	0.546052	0.844034	0.550255	0.086371	0.112440	0.198054	0.496059	0.330865	0.210221	0.000000	0.230083	0.229815	0.301349	0.006394	0.073920	0.240936	0.300673	0.365214	0.407386	0.406959	0.407386	0.866123	0.865712
内路 (1423)	0.549294	0.548887	0.545152	0.550007	0.544076	0.547660	0.548155	0.547347	0.548715	0.561058	0.553958	0.547189	0.549017	0.553062	0.549719	0.560128	0.546749	0.546446	0.561058	0.545827	0.547618	0.553791	0.553062	0.851862	0.555186	0.559605	0.549901	0.586486	0.540696	0.543333	0.841306	0.833698	0.520303	0.523833	0.852088	0.856125	0.851236	0.852064	0.560656	0.848960	0.854873	0.848183	0.853611	0.852776	0.555638	0.855812	0.848208	0.852370	0.568058	0.854302	0.848184	0.849321	0.853383	0.554963	0.853678	0.556540	0.203802	0.228396	0.135341	0.511949	0.426900	0.117909	0.230083	0.000000	0.013797	0.443432	0.229574	0.206856	0.037424	0.443432	0.472100	0.390633	0.394922	0.390633	0.871415	0.872840
新問 (1427)	0.847540	0.846416	0.843361	0.847535	0.841503	0.845904	0.846375	0.844865	0.846975	0.857938	0.852178	0.844728	0.847289	0.851280	0.847919	0.857003	0.845032	0.844714	0.857938	0.844037	0.845858	0.852009	0.851280	0.851342	0.853449	0.856484	0.848164	0.864865	0.839000	0.840717	0.840717	0.834357	0.520738	0.523763	0.851416	0.855545	0.850689	0.851425	0.857516	0.848461	0.854328	0.847683	0.853768	0.852142	0.853092	0.855216	0.847712	0.851710	0.865487	0.854399	0.847684	0.848813	0.852734	0.852422	0.853172	0.853974	0.203780	0.228775	0.136721	0.512232	0.426700	0.119444	0.229815	0.013797	0.000000	0.444283	0.229335	0.206314	0.039515	0.444283	0.473336	0.389930	0.394213	0.389930	0.870793	0.872217
落帆 (1246)	0.487734	0.482506	0.478236	0.481520	0.461835	0.482052	0.481467	0.479383	0.486152	0.492116	0.485827	0.480354	0.486704	0.484822	0.479934	0.491704	0.490660	0.490064	0.492116	0.477558	0.481959	0.484898	0.484822	0.780851	0.493318	0.491962	0.488713	0.456757	0.486397	0.458823	0.758146	0.735295	0.308494	0.322991	0.766714	0.773997	0.778988	0.767276	0.490697	0.777682	0.786956	0.776831	0.785056	0.767971	0.487765	0.774799	0.776894	0.767288	0.504415	0.787438	0.776831	0.777110	0.770171	0.493134	0.782391	0.486989	0.345319	0.305872	0.425216	0.294488	0.131819	0.438249	0.301349	0.443432	0.444283	0.000000	0.302735	0.334379	0.452444	0.005411	0.076514	0.810907	0.807758	0.810907	0.799048	0.798798
白浜 (1446)	0.542058	0.547489	0.543920	0.545792	0.541060	0.542587	0.546407	0.545167	0.543177	0.557762	0.554571	0.545964	0.543640	0.553555	0.547727	0.558044	0.542690	0.542207	0.557762	0.543245	0.542519	0.553630	0.553555	0.843238	0.547534	0.558278	0.542963	0.564865	0.538326	0.539839	0.837136	0.829258	0.507784	0.519117	0.839938	0.846395	0.842283	0.840881	0.555850	0.842597	0.848214	0.843770	0.848817	0.840163	0.549493	0.845983	0.843790	0.840397	0.565597	0.849655	0.843099	0.842766	0.843162	0.546026	0.844002	0.550238	0.085493	0.110469	0.197408	0.495837	0.328959	0.209595	0.006394	0.229574	0.229335	0.302735	0.000000	0.072677	0.240449	0.302059	0.366552	0.408098	0.407673	0.408098	0.866180	0.865742
白浦 (1474)	0.549555	0.551096	0.547504	0.550086	0.545121	0.550093	0.550624	0.548823	0.550614	0.559868	0.556712	0.549529	0.551027	0.555713	0.551345	0.560177	0.550036	0.549613	0.559868	0.548179	0.550035	0.555784	0.555713	0.848466	0.554961	0.560392	0.550391	0.570270	0.544910	0.544088	0.840034	0.836024	0.516449	0.526182	0.846405	0.849792	0.847621	0.846557	0.558027	0.847066	0.852154	0.847575	0.851946	0.846517	0.553297	0.849428	0.847586	0.846807	0.570065	0.852310	0.847580	0.847283	0.848800	0.549837	0.849155	0.553432	0.025812	0.121619	0.164517	0.504705	0.345244	0.174344	0.073920	0.206856	0.206314	0.334379	0.072677	0.000000	0.219408	0.333703	0.380624	0.398566	0.396121	0.398566	0.873131	0.872981
多来加 (1442)	0.550348	0.550511	0.547393	0.551680	0.543900	0.549298	0.549696	0.548958	0.549666	0.560419	0.556094	0.548780	0.549955	0.555243	0.551953	0.559530	0.547094	0.547474	0.560419	0.548069	0.549254	0.555964	0.555243	0.849276	0.556203	0.558990	0.550895	0.591892	0.541661	0.543150	0.841799	0.834383	0.523831	0.525629	0.850842	0.854821	0.848670	0.850154	0.559993	0.848395	0.854914	0.846971	0.853552	0.850915	0.555579	0.855162	0.846339	0.851105	0.567113	0.853547	0.846969	0.848119	0.851338	0.554955	0.851703	0.555788	0.216959	0.238923	0.151510	0.516520	0.434492	0.134239	0.240936	0.037424	0.039515	0.452444	0.240449	0.219408	0.000000	0.452444	0.480243	0.386874	0.391123	0.386874	0.869092	0.870938
富内 (1241)	0.487734	0.483183	0.478236	0.481520	0.461835	0.482052	0.481467	0.480060	0.486152	0.492116	0.485827	0.480354	0.486704	0.484822	0.479934	0.491704	0.490660	0.490064	0.492116	0.477558	0.481959	0.484898	0.484822	0.780851	0.493318	0.491962	0.488713	0.456757	0.486397	0.458823	0.758146	0.735972	0.307817	0.322314	0.767391	0.773997	0.778988	0.767954	0.490697	0.777682	0.786956	0.776831	0.785056	0.768648	0.487765	0.774799	0.776894	0.767965	0.504415	0.787438	0.776831	0.777110	0.770848	0.493134	0.782391	0.486989	0.344642	0.307225	0.425893	0.293811	0.131819	0.437572	0.300673	0.443432	0.444283	0.005411	0.302059	0.333703	0.452444	0.000000	0.077867	0.810907	0.807758	0.810907	0.799048	0.798798
弥満別 (1224)	0.480063	0.470234	0.466626	0.471322	0.448065	0.470857	0.469933	0.468324	0.477134	0.480620	0.474945	0.467470	0.477790	0.473948	0.468224	0.480857	0.483969	0.483246	0.480620	0.465948	0.470735	0.474025	0.473948	0.768335	0.485759	0.481146	0.481126	0.467568	0.480512	0.443157	0.741802	0.711866	0.276362	0.293414	0.747803	0.759499	0.766185	0.750077	0.479673	0.765389	0.770793	0.765892	0.770537	0.751500	0.472569	0.758111	0.766681	0.749885	0.489852	0.770326	0.765887	0.765406	0.751626	0.479315	0.770011	0.472282	0.387643	0.325621	0.458114	0.259164	0.146300	0.467128	0.365214	0.472100	0.473336	0.076514	0.366552	0.380624	0.480243	0.077867	0.000000	0.828021	0.824872	0.828021	0.786132	0.786228
千島 (1503)	0.861981	0.864684	0.862612	0.866089	0.860634	0.860518	0.864031	0.863180	0.860016	0.872554	0.869953	0.863391	0.860819	0.870016	0.866550	0.872586	0.869766	0.869615	0.872554	0.861936	0.860486	0.870010	0.870016	0.865571	0.869552	0.872600	0.862111	0.837838	0.862550	0.860263	0.860938	0.861241	0.566663	0.569289	0.867557	0.868846	0.865348	0.867172	0.870193	0.864433	0.866465	0.863814	0.864393	0.868701	0.863718	0.868633	0.864573	0.867602	0.874787	0.865077	0.863127	0.864422	0.868054	0.860548	0.866904	0.863442	0.397641	0.408233	0.433780	0.560861	0.502181	0.428245	0.407386	0.390633	0.389930	0.810907	0.408098	0.398566	0.386874	0.810907	0.828021	0.000000	0.021229	0.004049	0.865322	0.867479
幌筵 (1508)	0.863741	0.866425	0.865026	0.867832	0.862351	0.862273	0.866447	0.865590	0.861778	0.874290	0.871705	0.865133	0.862585	0.871771	0.868959	0.874324	0.871540	0.871383	0.874290	0.863674	0.862240	0.871764	0.871771	0.866589	0.871317	0.874339	0.863875	0.837838	0.864330	0.861964	0.862639	0.862920	0.567657	0.570304	0.868515	0.869831	0.866357	0.868143	0.871916	0.865460	0.867463	0.864843	0.865389	0.869680	0.864714	0.869608	0.865605	0.868562	0.875735	0.866044	0.864156	0.865448	0.869003	0.862229	0.867921	0.864426	0.395218	0.406490	0.433391	0.561842	0.499767	0.432583	0.406959	0.394922	0.394213	0.807758	0.407673	0.396121	0.391123	0.807758	0.824872	0.021229	0.000000	0.021229	0.866061	0.868334
占守 (1503)	0.861981	0.864684	0.862612	0.866089	0.860634	0.860518	0.864031	0.863180	0.860016	0.872554	0.869953	0.863391	0.860819	0.870016	0.866550	0.872586	0.869766	0.869615	0.872554	0.861936	0.860486	0.870010	0.870016	0.865571	0.869552	0.872600	0.862111	0.837838	0.862550	0.860263	0.860938	0.861241	0.566663	0.569289	0.867557	0.868846	0.865348	0.867172	0.870193	0.864433	0.866465	0.863814	0.864393	0.868701	0.863718	0.868633	0.864573	0.867602	0.874787	0.865077	0.863127	0.864422	0.868054	0.860548	0.866904	0.863442	0.397641	0.408233	0.433780	0.560861	0.502181	0.428245	0.407386	0.390633	0.389930	0.810907	0.408098	0.398566	0.386874	0.810907	0.828021	0.004049	0.021229	0.000000	0.865322	0.867479
択捉 (1190)	0.686778	0.682686	0.676171	0.683119	0.665458	0.677161	0.675032	0.679914	0.679877	0.680026	0.682343	0.680112	0.681716	0.683462	0.682729	0.680975	0.694903	0.694309	0.680703	0.676171	0.677016	0.684768	0.683462	0.336703	0.694003	0.680989	0.687091	0.681081	0.689456	0.660361	0.363743	0.341857	0.707402	0.707467	0.492220	0.487608	0.331603	0.499197	0.662792	0.349930	0.565235	0.353711	0.563855	0.502498	0.561149	0.485611	0.354876	0.493636	0.482383	0.543583	0.352964	0.352741	0.488828	0.636935	0.339706	0.560143	0.874279	0.872352	0.880660	0.714127	0.794573	0.882646	0.866123	0.871415	0.870793	0.799048	0.866180	0.873131	0.869092	0.799048	0.786132	0.865322	0.866061	0.865322	0.000000	0.039660
南千島 (1190)	0.681613	0.675009	0.668227	0.675014	0.660922	0.670891	0.667132	0.671925	0.674514	0.671482	0.674075	0.672429	0.676508	0.675428	0.674550	0.672583	0.690831	0.690047	0.671482	0.668227	0.670691	0.676701	0.675428	0.326795	0.688945	0.673263	0.681948	0.681081	0.685525	0.655257	0.357287	0.336391	0.706385	0.704994	0.481533	0.474682	0.321289	0.486271	0.653490	0.340495	0.553098	0.344523	0.551758	0.490332	0.549052	0.471965	0.345947	0.480046	0.464429	0.528467	0.343737	0.343447	0.473535	0.625006	0.328787	0.546371	0.873957	0.871914	0.880811	0.713154	0.793969	0.882921	0.865712	0.872840	0.872217	0.798798	0.865742	0.872981	0.870938	0.798798	0.786228	0.867479	0.868334	0.867479	0.039660	0.000000
